班級,座號,學號,姓名,學生信箱
100,1,113001,艾邦A,student113001@example.com
100,2,113002,海塔D,student113002@example.com
100,3,113003,芙莉蓮C,student113003@example.com
100,4,113004,芙莉蓮E,student113004@example.com
100,5,113005,海塔B,student113005@example.com
100,6,113006,法蘭D,student113006@example.com
100,7,113007,海塔E,student113007@example.com
100,8,113008,雷因B,student113008@example.com
100,9,113009,芙莉蓮B,student113009@example.com
100,10,113010,雷因C,student113010@example.com
100,11,113011,辛美爾D,student113011@example.com
100,12,113012,辛美爾A,student113012@example.com
100,13,113013,庫魯特C,student113013@example.com
100,14,113014,雷因C,student113014@example.com
100,15,113015,法蘭B,student113015@example.com
100,16,113016,海塔E,student113016@example.com
100,17,113017,辛美爾C,student113017@example.com
100,18,113018,雷因C,student113018@example.com
100,19,113019,雷因D,student113019@example.com
100,20,113020,庫魯特D,student113020@example.com
100,21,112001,費倫,juihsiangchen3@gmail.com
100,22,112002,修塔爾克,sea810749@gmail.com
101,1,113021,海塔C,student113021@example.com
101,2,113022,法蘭C,student113022@example.com
101,3,113023,海塔A,student113023@example.com
101,4,113024,費倫D,student113024@example.com
101,5,113025,米蘭達B,student113025@example.com
101,6,113026,費倫D,student113026@example.com
101,7,113027,米蘭達A,student113027@example.com
101,8,113028,雷因D,student113028@example.com
101,9,113029,辛美爾A,student113029@example.com
101,10,113030,芙莉蓮B,student113030@example.com
101,11,113031,雷因E,student113031@example.com
101,12,113032,米蘭達D,student113032@example.com
101,13,113033,法蘭C,student113033@example.com
101,14,113034,費倫D,student113034@example.com
101,15,113035,雷因E,student113035@example.com
101,16,113036,庫魯特C,student113036@example.com
101,17,113037,尤貝爾E,student113037@example.com
101,18,113038,辛美爾B,student113038@example.com
101,19,113039,雷因D,student113039@example.com
101,20,113040,米蘭達B,student113040@example.com
102,1,113041,尤貝爾A,student113041@example.com
102,2,113042,庫魯特B,student113042@example.com
102,3,113043,庫魯特A,student113043@example.com
102,4,113044,尤貝爾B,student113044@example.com
102,5,113045,尤貝爾D,student113045@example.com
102,6,113046,米蘭達B,student113046@example.com
102,7,113047,辛美爾E,student113047@example.com
102,8,113048,尤貝爾C,student113048@example.com
102,9,113049,費倫E,student113049@example.com
102,10,113050,芙莉蓮E,student113050@example.com
102,11,113051,庫魯特C,student113051@example.com
102,12,113052,辛美爾E,student113052@example.com
102,13,113053,雷因B,student113053@example.com
102,14,113054,庫魯特D,student113054@example.com
102,15,113055,庫魯特E,student113055@example.com
102,16,113056,辛美爾C,student113056@example.com
102,17,113057,海塔B,student113057@example.com
102,18,113058,米蘭達B,student113058@example.com
102,19,113059,庫魯特C,student113059@example.com
102,20,113060,費倫E,student113060@example.com
103,1,113061,庫魯特E,student113061@example.com
103,2,113062,法蘭C,student113062@example.com
103,3,113063,米蘭達B,student113063@example.com
103,4,113064,辛美爾E,student113064@example.com
103,5,113065,米蘭達E,student113065@example.com
103,6,113066,辛美爾C,student113066@example.com
103,7,113067,辛美爾E,student113067@example.com
103,8,113068,海塔D,student113068@example.com
103,9,113069,芙莉蓮B,student113069@example.com
103,10,113070,艾邦C,student113070@example.com
103,11,113071,費倫B,student113071@example.com
103,12,113072,辛美爾D,student113072@example.com
103,13,113073,尤貝爾D,student113073@example.com
103,14,113074,海塔E,student113074@example.com
103,15,113075,艾邦A,student113075@example.com
103,16,113076,辛美爾C,student113076@example.com
103,17,113077,海塔E,student113077@example.com
103,18,113078,庫魯特C,student113078@example.com
103,19,113079,辛美爾E,student113079@example.com
103,20,113080,艾邦B,student113080@example.com
104,1,113081,費倫B,student113081@example.com
104,2,113082,艾邦B,student113082@example.com
104,3,113083,米蘭達A,student113083@example.com
104,4,113084,芙莉蓮A,student113084@example.com
104,5,113085,庫魯特C,student113085@example.com
104,6,113086,雷因E,student113086@example.com
104,7,113087,米蘭達B,student113087@example.com
104,8,113088,芙莉蓮C,student113088@example.com
104,9,113089,艾邦B,student113089@example.com
104,10,113090,芙莉蓮E,student113090@example.com
104,11,113091,海塔A,student113091@example.com
104,12,113092,尤貝爾E,student113092@example.com
104,13,113093,艾邦D,student113093@example.com
104,14,113094,海塔D,student113094@example.com
104,15,113095,芙莉蓮D,student113095@example.com
104,16,113096,尤貝爾B,student113096@example.com
104,17,113097,艾邦D,student113097@example.com
104,18,113098,辛美爾D,student113098@example.com
104,19,113099,雷因C,student113099@example.com
104,20,113100,雷因C,student113100@example.com
